actor_id,actor
822,Avery Brooks
66646,Atticus Shaffer
107170,Jarvis Cocker
18054,Rinko Kikuchi
1038379,Robert Kazinsky
20753,Fred Willard
77298,Taimak
57412,Moisés Arias
1378650,Elizabeth Hunter
56551,Ashley Laurence
17142,Paul Dano
52847,Joy Bryant
67318,Megumi Okina
57207,Tony Jaa
83225,Colin Egglesfield
5170,Mike Starr
571208,R. Martin Klein
5590,Elle Macpherson
2248,Michael Wright
441898,Ben Davies
3051,Toni Collette
1354957,Johnny Ortiz
46948,Kelly LeBrock
1078608,Lorenza Izzo
5894,Andrew Miller
76792,Freida Pinto
14312,Mitchell Ryan
1086858,James Bierman
36802,Elaine Stritch
10539,Kim Hunter
77226,Theresa Merritt
969635,Sue Rock
81698,Michael Bunin
84835,Shoshana Bush
1172555,Cynthia Smith
18892,Goldie Hawn
49271,Brian Geraghty
9828,Garrett Hedlund
89819,Zachary Gordon
64928,Art Garfunkel
2617,Cara Seymour
6074,Kenneth Welsh
74242,Shea Whigham
589098,Ashley Hinshaw
20748,Lou Myers
32393,Paul McCrane
51798,Katee Sackhoff
3011,Linda Manz
31712,William Converse-Roberts
10557,Paul Simon
148096,Miles Heizer
31024,Betty Thomas
69614,Brad Loree
84698,Jessica Lowndes
16921,Clotilde Courau
226775,Kahiry Bess
1410993,Dustin Diamond
558928,Max Charles
1471194,Kevin Leslie
192846,Anthony Calf
2094,Peter Lorre
60005,Nathan Phillips
20528,Jaran 'See Tao' Petcharoen
76215,Adrian Lester
230060,Amy Ferguson
47879,John Savage
19152,Dylan Baker
16089,Jason Evers
1571591,Tamara Rey
63436,Jun Ji-hyun
36801,Adam Scott
6280,Powers Boothe
57108,Usher Raymond
97746,Patch Mackenzie
56159,Dana Carvey
21992,Pia Zadora
18325,Jeremy Northam
3908,Tony Denman
7400,Lee Evans
117458,Brian Downey
93133,Christopher Scott Cherot
558543,Dave Koenig
85977,Clive Standen
56439,J. Trevor Edmond
560311,Virginia Bryant
4253,Jon Polito
223331,Sky Ferreira
1298588,Virginia Cross
16619,Mr. T
56675,Anson Mount
21519,Kathryn Harrold
2712,Michael Biehn
2467,James Cosmo
8309,Kierston Wareing
111801,Eoin Macken
19210,James Van Der Beek
181575,Brandt Wille
18052,Nathan Gamble
21163,Gary Cole
1561685,JoJo Kushner
6806,Doug Hutchison
154955,Danielle Savre
59688,Trish Gates
202047,Joe Armstrong
971329,Nina Arianda
37046,Dania Ramirez
15788,Nigel Hawthorne
6836,Dan O'Herlihy
5168,Gabriel Byrne
56730,Cole Sprouse
80661,Michael Zegen
4654,Jeremy Davies
1506492,Lily Autumn Page
140238,William Shimell
582438,Franz Beckenbauer
91495,Mimi Kennedy
1575982,Kelley Menighan Hensley
556527,Flip Benham
970275,Stephen Dervan
52478,Rachel Blanchard
117640,Haluk Bilginer
55637,Brian Hooks
59217,Shanna Collins
762,Ali Suliman
1050248,Art Parkinson
21319,Sheri Moon Zombie
6164,Josh Lucas
131391,Maryann Urbano
13301,Quincy Jones
18271,Toby Huss
6200,Diane Venora
17753,Lionel Barrymore
2461,Mel Gibson
4112,Paul Henreid
11356,Imelda Staunton
5145,Jack Murdock
13399,Lloyd Bochner
4939,Téa Leoni
968528,Faith Wladyka
22809,Keeley Hawes
194370,Kevin King
132857,Eric Wareheim
12123,Jesse Vint
21399,Ron Silver
52615,Marilyn Joi
65395,James Madio
76463,Ellen Crawford
4800,Gena Rowlands
59129,Óscar Jaenada
1325939,Ace Marrero
74302,Cory Hardrict
1177525,Phil Jackson
71570,Justin Chadwick
119586,Ethan Peck
81432,David Forman
68718,Gordon Warnecke
1063782,Sonja Kinski
31133,Ne-Yo
114310,Natalia Klimas
69298,Michael McGlone
13401,Peter Mark Richman
1016036,Mary Doran
77916,Carolyn Moss
66776,Liza Minnelli
1645100,Kevin Barnes
61671,Conrad Dunn
219545,Sean Kingston
5529,Anna Popplewell
36637,Brandon Smith
54041,Paul Hipp
9560,Ellen Burstyn
57349,Bubba Smith
1052103,Phil Fish
76070,Mia Wasikowska
9996,Sean Whalen
179702,Bob Joles
1132647,Christine Haeberman
56552,Sean Chapman
58563,David Alan Grier
18998,Rosemary Harris
3363,Nigel Bruce
63109,Joshua Alba
1190917,Zoe Levin
3783,Brigitte Bardot
232684,Molly Dunsworth
157439,Paula Kelly
15309,Lori Petty
75638,Bruce Bruce
1085697,Nick Davies
116882,Lyndsy Fonseca
548375,Michael Rainey Jr.
29527,Tom Ward
20813,Joey D. Vieira
62649,Russell Hornsby
21042,Ebon Moss-Bachrach
18249,Cicely Tyson
44831,Carrie Snodgress
60258,Mark DeCarlo
9013,Kevin McKidd
135352,Kevin Nash
81425,Philippe Petit
5216,Gus Van Sant
15758,Queen Latifah
41314,Zineb Oukach
60966,Robb Wells
3026,Rob Reiner
1431169,Jasper Newell
41464,Scott Mechlowicz
140529,Kitana Baker
1249201,Erik Larsen
210050,Eliza Coupe
53,Peter Stormare
8902,Sid Caesar
101519,Naturi Naughton
2310,Bruno Ganz
65762,Jordan Bridges
57494,Lisa Ganjhu
18646,Thomas Gomez
57951,Everlyn Sampi
97695,Peter Kwong
559207,Synnøve Macody Lund
11511,Daniel Stern
219737,Matt Cross
53257,Emilio Rivera
154472,Roy Abramsohn
942021,Benjamin Weir
136796,Kryštof Hádek
93564,Pihla Viitala
47653,Aidan McArdle
105688,Bashar Rahal
57136,Ryan Merriman
108562,Lisa Ann
543352,Donovan Womack 
31903,Henry Winkler
62123,David Moscow
14692,Nick Castle
19901,Clive Russell
83902,James Blackwell
1429674,Brooke Coleman
1277713,Franziska Kruse
1645101,Nina Barnes
51792,Rory Cochrane
10369,Divine
152302,Alexa Nikolas
58731,Diva Gray
8841,Donald Crisp
1267329,Lupita Nyong'o
2228,Sean Penn
7302,Janet Leigh
73127,Joseph Julian Soria
10990,Emma Watson
84229,Mike Mazurki
31713,Brían F. O'Byrne
123995,Bruce Barton
1258700,Hayley Orrantia
29258,Bessie Love
222141,Megan Boone
31028,Richard Schiff
1562478,Jonathan Race
29802,Marty Feldman
86237,Joe Pingue
93823,Silvestre Rasuk
92019,Shannon Eagen
15296,Grant Roa
200,Nancy Cartwright
151384,Meredith Scott Lynn
146269,Artem Mishin
80310,Tony Jayawardena
41044,Babou Ceesay
31164,Adewale Akinnuoye-Agbaje
10727,John Hannah
14503,Herbert Lom
98394,Affion Crockett
62491,Woody Naismith
69803,Randy Pearlstein
9576,Gina Torres
14792,Josef Sommer
54450,Gavin MacLeod
10170,Ilse Steppat
7633,Leslie Nielsen
2233,Bridget Fonda
26863,Richard Graham
186450,Miriama Smith
17752,Donna Reed
6677,Kyle MacLachlan
107474,Arthur Angel
18181,David Keith
503,Justin Chatwin
11355,Jason Isaacs
53651,Monique Gabriela Curnen
53280,Tyler Posey
24516,Daniel Baldwin
16166,Hoyt Axton
3380,Bette Davis
117617,Marisa Pavan
587506,Shameik Moore
5823,Julie Andrews
8447,Jeff Daniels
58960,De'Shawn Washington
3214,Steven Wright
7353,Angélica Aragón
1008607,Sophie Nélisse
40176,Art Carney
17341,Amaury Nolasco
54499,Briana Evigan
8224,Alec McCowen
33923,Mel Blanc
81426,Jean François Heckel
163917,Julian Gamble
60074,Jeff Garlin
77700,Travis Fimmel
1374980,Rhonda Britton
57674,Alexa PenaVega
1054837,Sean Michael Afable
1016945,Laura Gerow
587020,Theo James
1167019,Valerie Spelman
53248,Tammy Trull
6681,Sherilyn Fenn
11824,Tom Welling
130536,Justin Kline
311811,Paul Popplewell
55471,Samuel Barnett
59252,Nikki Reed
1165267,Donato Cruz
208693,James Wilson
514,Jack Nicholson
3785,Jack Palance
1338420,Joe Slaughter
129437,Shani Wallis
145814,Gage Golightly
552135,Flip Schultz
58401,Joanne Samuel
679,Franka Potente
30003,Ginger Rogers
3065,Jack McElhone
14700,Richard Tyson
80576,Max Records
180730,Jade Gordon
1348331,Claudia Lapacó
133,Peter Sarsgaard
500045,David Oakes
11659,David Bowe
1196615,Scott Reeves
15387,Wilfrid Hyde-White
20810,Joely Richardson
2629,Alun Armstrong
1907,Kathy Baker
2642,Leo G. Carroll
103011,John Philbin
33934,Derek Richardson
77075,Norm Macdonald
2956,Amanda Peet
7632,Shelley Winters
94429,Jackson Walker
15765,John Colicos
33653,Sherry Stringfield
2234,Michael Bowen
18269,Brendan Fraser
8516,John Carradine
71083,Kate Dickie
336,Xzibit
4391,Charles Dance
239019,Kit Harington
56949,Redd Foxx
103901,Sheila E.
18023,Robert Carlyle
107171,Marc Almond
23495,Jonathan Jackson
25990,Andy Comeau
18300,Eddie J. Fernandez
17064,Ben Whishaw
5538,Ray Winstone
90778,Orianthi
49824,Kathryn Erbe
25944,Larry Poindexter
212,David Cross
1367884,Lisa Hart Carroll
59844,Omar J. Dorsey
24365,Michel Subor
14888,Bruce McGill
12889,Ray Baker
61914,Zoe Ventoura
55493,Brady Corbet
2462,Catherine McCormack
73830,K. D. Aubert
53761,Christopher Gorham
113676,Helena Mattsson
14011,Tom Courtenay
2106,Walt Disney
7107,Daniel Olbrychski
10695,Izabella Scorupco
5563,James Coburn
20815,Skye McCole Bartusiak
6450,Faye Dunaway
1956,Cherry Jones
1334169,Allison Egan
101250,Kim Poirier
62831,Will Forte
25541,Katherine Heigl
96018,Robert Belushi
189794,Cheyenne Haynes
83474,Charles Winninger
227849,Adil Hussain
77351,Oleg Taktarov
53368,Scott Porter
37422,Jan Rubes
58965,Alyson Stoner
11064,David Strathairn
28164,Charles Grodin
47983,Victoria Beckham
19900,Daniel Southern
57351,George Gaynes
78030,Ashley Benson
60023,Joe Viterelli
77174,Ron Lester
1279279,Virginia Gardner
1021227,Brandon Barrera
1372,Karl Urban
1981,Alfre Woodard
81098,Joe Dinicol
74338,Carey Means
54865,Jeff Kober
45404,Elise Muller
3092,Diane Keaton
8197,Sebastian Koch
65019,Lane Smith
121417,Max Phipps
103707,Austin Stoker
84518,Jacob Davich
31162,Daran Norris
1175784,Candace Evanofski
82529,Jamil Walker Smith
12543,Eileen Ryan
1340664,Ava Acres
19838,Marg Helgenberger
76940,John Brumpton
3205,Richard Lineback
26974,Jessy Schram
530,Carrie-Anne Moss
8894,Jeff Conaway
2843,Rob Campbell
63992,Brett Kelly
73355,Georgia Groome
53572,Charles Malik Whitfield
1001709,Dallas Barnett
133212,Ryan Kwanten
2638,Cary Grant
33937,Jana Kaderabkova
5050,Yaphet Kotto
81579,Allyson Sereboff
94348,Suzan Crowley
540,Callum Keith Rennie
933832,Baby Bash
146032,Christian Rudder
5376,Jean Smart
1251993,Holly Deveaux
56618,Brian Murray
1188934,Robert Burke
418,Robert Patrick
162892,Jack Guzman
16757,Sophia Loren
1174142,David Jason Perez
8944,Jamie Lee Curtis
76229,India Ennenga
15735,Helen Mirren
39596,Tricia Vessey
1527846,A.J. DeLucia
18082,Timothy Olyphant
