movie_id,kw_id
49047,11223
9619,1523
9619,2249
9619,9986
9619,11223
308531,1523
308531,2249
308531,9986
308531,11223
166424,1523
166424,2249
166424,9986
166424,11223
1593,1523
1593,2249
1593,9986
1593,11223
254128,1523
254128,2249
254128,9986
254128,11223
714,1523
714,2249
714,9986
714,11223
2024,1523
2024,2249
2024,9986
2024,11223
163,1523
163,2249
163,9986
163,11223
787,1523
787,2249
787,9986
787,11223
262500,1523
262500,2249
262500,9986
262500,11223
2567,1523
2567,2249
2567,9986
2567,11223
38745,1523
38745,2249
38745,9986
38745,11223
40805,1523
40805,2249
40805,9986
40805,11223
53182,1523
53182,2249
53182,9986
53182,11223
41513,1523
41513,2249
41513,9986
41513,11223
13700,1523
13700,2249
13700,9986
13700,11223
262504,1523
262504,2249
262504,9986
262504,11223
39254,1523
39254,2249
39254,9986
39254,11223
77931,1523
77931,2249
77931,9986
77931,11223
1639,1523
1639,2249
1639,9986
1639,11223
80274,1523
80274,2249
80274,9986
80274,11223
1571,1523
1571,2249
1571,9986
1571,11223
120,1523
120,2249
120,9986
120,11223
10204,1523
10204,2249
10204,9986
10204,11223
8489,1523
8489,2249
8489,9986
8489,11223
10588,1523
10588,2249
10588,9986
10588,11223
2048,1523
2048,2249
2048,9986
2048,11223
1495,1523
1495,2249
1495,9986
1495,11223
10137,1523
10137,2249
10137,9986
10137,11223
10198,1523
10198,2249
10198,9986
10198,11223
286217,1523
286217,2249
286217,9986
286217,11223
1635,1523
1635,2249
1635,9986
1635,11223
24113,1523
24113,2249
24113,9986
24113,11223
9679,1523
9679,2249
9679,9986
9679,11223
98,1523
98,2249
98,9986
98,11223
180,1523
180,2249
180,9986
180,11223
672,1523
672,2249
672,9986
672,11223
36557,1523
36557,2249
36557,9986
36557,11223
869,1523
869,2249
869,9986
869,11223
280,1523
280,2249
280,9986
280,11223
11322,1523
11322,2249
11322,9986
11322,11223
4982,1523
4982,2249
4982,9986
4982,11223
36955,1523
36955,2249
36955,9986
36955,11223
18487,1523
18487,2249
18487,9986
18487,11223
39451,1523
39451,2249
39451,9986
39451,11223
27581,1523
27581,2249
27581,9986
27581,11223
9268,1523
9268,2249
9268,9986
9268,11223
68718,1523
68718,2249
68718,9986
68718,11223
10545,1523
10545,2249
10545,9986
10545,11223
11688,1523
11688,2249
11688,9986
11688,11223
76163,1523
76163,2249
76163,9986
76163,11223
2059,1523
2059,2249
2059,9986
2059,11223
