director_id,director
58094,Gillian Armstrong
1044,Michael Chapman
54507,Jon M. Chu
2163,Richard LaGravenese
18823,Dagur Kári
21198,Peter Sohn
24657,Franco Zeffirelli
56710,Oliver Parker
1514635,C. Fraser Press
48980,David McNally
57630,Peter Cattaneo
23964,Gary Ross
67781,Peter Kosminsky
129921,Kief Davidson
1046142,Benson Lee
82219,Luis Valdez
10707,Terry Jones
52629,Joseph Ruben
566328,Michael Sucsy
78118,Vadim Perelman
72206,Robert Pulcini
1056121,Ryan Coogler
4499,Tom Shadyac
67897,Jeff Kanew
92743,Jamin Winans
11614,M. Night Shyamalan
1299380,Nima Nourizadeh
84113,Charles Robert Carner
52941,Rob McKittrick
4339,Paul Crowder
47364,Greg Coolidge
1032,Martin Scorsese
1352997,Kabir Sadanand
1167470,Gary Shore
65627,Kris Isacsson
122582,Jake Paltrow
69144,Scott Marshall Smith
66219,Mark Levin
52609,Breck Eisner
33279,Danny Cannon
112289,Chris Shadley
80538,Jean Duval
3893,David S. Goyer
54025,Karyn Kusama
9039,John Ottman
1031972,Paul Bunnell
8844,Lawrence Kasdan
88142,Vipul Amrutlal Shah
2053,Bill Paxton
455,Paul Haggis
84165,Michael Dinner
66191,Barry Cook
26760,Tsui Hark
37618,Andrew Dominik
1101410,Dave Green
130482,Mary McGuckian
63983,Roger Nygard
11343,David Yates
76422,Ric Roman Waugh
146026,D. Stevens
234818,Christopher Erskin
26850,Eduardo Sánchez
23287,Andrew Jarecki
35736,Karan Johar
996070,Charles Adelman
91268,Ruben Fleischer
18311,Joe Roth
108952,Mike Disa
7501,Ronald Neame
59126,Alister Grierson
69737,C. Jay Cox
1749,Leonard Nimoy
66681,Matt Bettinelli-Olpin
2710,James Cameron
3288,Chris Weitz
16544,Ted Kotcheff
142312,Jennifer Yuh Nelson
1179590,Scott Walker
107414,Philip Saville
225976,Dan Scanlon
107446,Phil Lord
56911,Les Mayfield
26205,James Bobin
18898,Rob Minkoff
1192754,Peter Landesman
7467,David Fincher
119367,Robert Cary
52870,Tim Johnson
101399,Claudia Llosa
16834,Allen Coulter
9032,Bryan Singer
70500,Tom Hooper
114925,Richard Dutcher
53708,Ira Sachs
558559,Al Silliman Jr.
109857,Thor Freudenthal
1521130,Andrew Steggall
1300274,Jason Zada
36147,Charles T. Kanganis
10367,John Waters
92490,Edward Conna
42,Lars von Trier
77357,Rupert Wyatt
9168,Alan Parker
14773,Don Siegel
1365766,Barrett Esposito
525,Christopher Nolan
30422,Jack Smight
39822,Rich Cowan
226599,Norman Ferguson
58040,Bruce Malmuth
79726,John D. Hancock
1150712,Tommy Oliver
7767,Sam Peckinpah
19850,Catherine Hardwicke
85563,Brian Herzlinger
56736,Xavier Palud
56359,Lexi Alexander
11426,Ben Sharpsteen
78108,Isaac Florentine
21677,Barnaby Thompson
27728,Leslie H. Martinson
69168,Leonard Farlinger
13348,Howard Hughes
13235,Alexander Payne
82413,Jack Conway
18854,Martin Ritt
1018660,Tanner Beard
146275,Joseph Graham
36187,Bob Gosse
137262,Steve Purcell
11887,Brad Silberling
28741,Michael Rymer
5058,Roger Christian
27226,Patrick Lussier
6163,Adam Goldberg
57433,George Ogilvie
31511,Grant Heslov
15488,Ken Loach
228311,Keith Parmer
75544,Jeremy Sims
74341,Matt Maiellaro
15115,Stefan Ruzowitzky
16566,George P. Cosmatos
66088,Ronald F. Maxwell
12846,William A. Fraker
66983,Tom Kalin
54050,Mark Waters
1284493,R.J. Cutler
18889,Mic Rodgers
55520,Nae Caranfil
115309,Khyentse Norbu
30149,Mikael Salomon
29783,Fred Durst
56453,John Bonito
53334,Jim Sheridan
5469,Ralph Fiennes
56381,James Toback
1058138,Peter M. Cohen
6431,Darren Aronofsky
126945,Brian Percival
56435,Stephen T. Kay
71267,Kirk De Micco
2223,Fred Savage
545086,Beto Gómez
43518,Lawrence Kasanoff
136345,Sean Byrne
1551346,Matthew Robinson
56913,Stephen Carpenter
151460,John Sullivan
185438,Genndy Tartakovsky
133406,Dan Rush
67813,Baltasar Kormákur
208138,Daniel Hsia
155945,Jack Heller
11873,Roger Kumble
77277,Nate Parker
7256,Lee Tamahori
116357,Scott Stewart
57130,Todd Phillips
31024,Betty Thomas
12114,Michael Cimino
65134,DJ Pooh
93214,Steven Quale
52599,Justin Zackham
1429671,Kirk Loudon
112632,Eddie O'Flaherty
56412,John Requa
34611,Howard Zieff
15557,Bill Condon
2294,Robert Rodriguez
12219,Jon Stewart
32427,W.S. Van Dyke
44847,David Anspaugh
31211,Clive Barker
12677,Matthew Robbins
307546,Jim Hanon
74259,Brian Dannelly
10491,Paul Verhoeven
84061,Daniel Barnz
60438,Michael Landon Jr.
55117,Matthew Bright
6046,Roland Emmerich
54441,James Ivory
58868,Troy Miller
7482,Julian Schnabel
66218,Jennifer Flackett
70415,Tony Maylam
125637,Brian Baugh
138,Quentin Tarantino
58178,David Mirkin
66512,Tom Brady
86035,Maria Maggenti
17167,Andy Tennant
228797,Richard Kwietniowski
37360,Henry Hathaway
79656,John Schultz
52934,Nicholas Stoller
68750,Robert Townsend
102445,John Sayles
4081,Stanley Kramer
93133,Christopher Scott Cherot
83287,Lynne Ramsay
54733,Greg Mottola
105860,Kevin Carraway
58912,Matthew Hastings
16391,Julie Taymor
60129,Susan Stroman
111745,Frank Sebastiano
15218,James Gunn
449832,Hayley Cloake
53014,Jessica Bendinger
65594,John Michael McDonagh
60024,Liz Friedlander
58059,Chris Koch
5656,Noah Baumbach
564083,Tatiana von Furstenberg
86688,Levan Gabriadze
1375627,Sharon Greytak
932248,Fede Alvarez
561061,Neil Nightingale
37932,F. Gary Gray
29648,Dan Curtis
1111710,Brenna Sanchez
1255,David Mamet
1614,Ang Lee
70250,Newt Arnold
66960,Dennie Gordon
80384,Paul Andrew Williams
1460398,Kristin Rizzo
117052,Jorge Blanco
93419,Don Scardino
27889,Stephan Elliott
14875,Robert Rossen
116832,Patricia Cardoso
1424519,Jerome Elston Scott
90525,Douglas Cheek
129894,Gareth Edwards
227439,Don Hall
52371,J.S. Cardone
69597,Drew Barrymore
4746,Robert Lorenz
16960,Valerie Faris
65317,Jake Scott
8029,Jimmy Hayward
14639,Mel Brooks
21526,Rod Lurie
37626,Patrice Leconte
16938,Renny Harlin
57199,Mark Mylod
142272,Henry Joost
77775,Marianna Palka
74105,Ricki Stern
8965,Roland Joffé
6011,Michael Haneke
10828,Guillermo del Toro
75920,Jeremy Passmore
2461,Mel Gibson
3950,Len Wiseman
18738,George Stevens
51864,Kasi Lemmons
4065,Fred Zinnemann
130128,Jonas Elmer
85822,Anthony C. Ferrante
21126,Frédéric Auburtin
11218,Alfonso Cuarón
132857,Eric Wareheim
20219,J. Mackye Gruber
76100,Ben Stassen
57962,Mort Nathan
53304,Peter Lord
19866,Guillaume Canet
125324,William Eubank
24045,Joseph Gordon-Levitt
71570,Justin Chadwick
18878,Rob Cohen
229568,Lisa Azuelos
1046127,Jason Stone
56205,Atom Egoyan
1262481,Alessandro Carloni
100036,D.W. Griffith
119953,Gabe Ibáñez
17764,Charles S. Dutton
142007,Steve Trenbirth
84437,Gabriela Tagliavini
14392,Kathryn Bigelow
27571,David Slade
64141,David Gordon Green
2036,Alex Garland
1519326,Justin Paul Miller
1122434,Chris Atkins
23880,Steven Seagal
60923,Will Speck
1289580,Daniel Mellitz
7426,Duncan Tucker
2419,Jean-Pierre Jeunet
105882,Neema Barnette
440517,Steve Taylor
57895,Robert Harmon
78040,Alex Kendrick
582841,Tom Seidman 
1039544,Nnegest Likké
150641,Gary Halvorson
76462,Richard Schenkman
19311,Stephen Chbosky
135534,Léa Pool
9622,Eric Brevig
12840,John Badham
19333,Dick Richards
2836,Kimberly Peirce
132964,Drake Doremus
219861,Dinesh D'Souza
66039,Damon Santostefano
15309,Lori Petty
237393,James Bidgood
1223224,Lee Matthews
54472,Martin McDonagh
8297,Roger Avary
86037,Jeff Crook
38774,Ray Lawrence
57142,Andrew Marton
115677,Coky Giedroyc
86437,John Eng
1360439,Collin Joseph Neal
30368,Jon Kasdan
77062,Damian Nieman
20907,Antoine Fuqua
36422,Luke Wilson
124747,Pierre Coffin
27992,Brian Yuzna
74106,Anne Sundberg
135650,Melvin Van Peebles
6778,John Guillermin
5216,Gus Van Sant
932013,Deryck Broom
3227,Steve Pink
479587,Dylan Bank
6038,Greg Strause
1262197,Peter Lepeniotis
3026,Rob Reiner
40199,Anthony Mann
1039527,Tyler Gillett
12714,Zack Ward
33317,David Leland
162102,Myles Berkowitz
991868,Ari Sandel
10702,Martin Campbell
518,Danny DeVito
59649,Michael Pressman
71923,Shane Acker
1280037,Kate Barker-Froyland
71280,Michael Dowse
1257827,Max Joseph
122728,Charles Matthau
61970,Ben Gluck
1046935,Kim Longinotto
49605,Ekachai Uekrongtham
16304,Brian Koppelman
51918,Harmony Korine
84515,Katherine Brooks
23858,Harley Cokeliss
2589,Terry George
11770,John Carpenter
61571,Barry Skolnick
52691,Anthony Stacchi
19684,Bille August
68212,Carroll Ballard
40863,Joe Swanberg
69099,Dan Ireland
7313,Steve Box
58245,Don Coscarelli
944713,John Stainton
90,Isabel Coixet
1726,Steven E. de Souza
113799,Frank Perry
42274,Nick Hurran
58689,Neil LaBute
56539,Nicole Holofcener
10808,Stephen Norrington
1011158,Florent-Emilio Siri
62116,Bille Woodruff
138781,Robert Eggers
16356,Steve Bendelack
52894,Laurence Dunmore
261271,Maurice Joyce
73460,Saul Dibb
37852,George Hickenlooper
40864,Andrew Bujalski
21905,Danny Pang
2228,Sean Penn
45117,John Carney
86051,Joshua Logan
82822,Phil Claydon
96172,Sam Levinson
1088647,Maggie Carey
82840,Dana Adam Shapiro
56154,Antony Hoffman
117168,Hank Braxtan
55441,David Boyd
1434686,Scott Dow
1184450,Sut Jhally
4483,Dustin Hoffman
137064,Robert Moresco
2127,James Wan
25527,Jason Connery
220274,Patrick Meaney
15775,Kevin Lima
928915,David Gelb
90429,Mike McCoy
87360,Michael Taliferro
61069,Miguel Arteta
22558,Nils Gaup
1375066,Stuart Ortiz
11805,Frank Whaley
36425,McG
948217,Bill Benenson
120247,Andrew Gurland
4135,Robert Redford
117794,Chris Morris
122842,Rich Christiano
29705,Jerry Belson
1158156,Marcos Martínez
84697,E.L. Katz
1280031,Mona Lerche
15344,J.J. Abrams
47503,Nancy Walker
132876,Brad Peyton
1110059,Travis Romero
59803,Brenda Chapman
30715,Terrence Malick
157879,Alison Maclean
5231,Wolfgang Petersen
16590,Sheldon Lettich
14855,Frank Borzage
6737,Jay Roach
62369,Olatunde Osunsanmi
64114,Edward Dmytryk
1019303,Duke Johnson
70616,Gerald Potterton
105643,Jay Oliva
8858,Ivan Reitman
3556,Roman Polanski
78021,Lloyd Kaufman
52405,Michael Hoffman
3415,Jerry Zucker
57446,Mark Romanek
60074,Jeff Garlin
74638,Karen Moncrieff
1734565,Jaco Booyens
123694,Rob Pritts
64331,Shim Hyung-Rae
95972,Hans Petter Moland
67750,Liliana Cavani
78545,Conor McMahon
17046,Gary Winick
15811,John Musker
41378,Kerry Conran
11011,Zak Penn
1100753,Ryan Smith
72258,Steve Boyum
64152,Robert Stevenhagen
83070,Scott Marshall
68412,Toshio Masuda
656971,Joseph Dorman
52114,Jon Lucas
583894,Pascal Vuong
2746,Elia Kazan
33064,Henry Koster
63709,Craig R. Baxley
1585252,Rob Hawk
527607,Sean Durkin
221944,Katie Aselton
67795,Steven Shainberg
77964,Mike Barker
24248,Nigel Cole
1310498,Ivan Kavanagh
20779,Gary Sinyor
102797,Robert Marcarelli
13927,Kurt Wimmer
68457,James Frawley
4387,François Ozon
1331465,Andrew Hyatt
1113116,Andy Muschietti
3087,Robert Duvall
7911,Joe Ranft
12920,David S. Ward
65615,Wych Kaosayananda
232858,Sarik Andreasyan
10179,John Glen
110726,Joseph Green
1219210,Mark Piznarski
4967,Colin Higgins
85925,Hilary Brougher
15277,Jon Favreau
151007,Peter Ramsey
