actor_id,actor
1754453,Jared Drennan
18914,Gregory Sierra
121606,Robert Portal
5311,Hélène Cardona
191156,Rich Williams
63683,Tim Daggett
1540680,Maleah Nipay-Padilla
2050,Noah Huntley
1669335,Ed Squires
82434,Wayne Pygram
60257,S. Scott Bullock
1089434,Yu Kang
148107,Tracy Stratford
1571435,Colin Bryant
1219410,Elizabeth Hoffman
1230626,David Sibley
1661635,Michel Moinot
25731,Vitezslav Bouchner
1463793,Kate Ransome Wilcox
46596,Cheryl Francis Harrington
1806157,Joan Campion
1456721,Marian Green
1228341,Munro Chambers
1438302,Justin Edward Davis
1209702,Thomas Craig Plumer
103352,Richard Riddell
1774087,Eliana Adise
1300075,Dwight Turner
128085,Miroslav Šimůnek
156910,Karl Wiedergott
11510,Macaulay Culkin
78898,Cherylene Lee
1736537,Jake Williams
6641,Julia Rayner
1510796,Charles Thomas Doyle
98045,John Gilbert
7967,Peter DeSeve
71763,Susan Hogan
1337598,Alison Raimondi
1503716,Marlon Yates Jr.
1331193,Caroline Clements
174791,Jacquelyn Houston
81002,Mikhail Evlanov
47988,Devon Anderson
60390,Trula M. Marcus
52483,Rus Blackwell
1426365,Alexis Rangheard
1281758,Sugar Lyn Beard
1468612,Elias Garza
78500,Will McCormack
1778253,Tumbleweed
152283,Milos Kirek
10862,Dominic Purcell
12073,Mike Myers
1423391,Paul De La Rosa
1775918,Camila Quaresma
1532422,Quentin Plair
1048566,Theodore Bouloukos
156990,Julie Dretzin
1478271,Caroline Barry
103795,Roberto Contreras
937792,Sean Tucker
53998,Nora-Jane Noone
1585297,Daxing Zhang
1366371,Moses Nyarko
176322,Tom Noga
38863,Alice Taglioni
25088,Andy Lucas
59066,Jean-Paul Vignon
1573547,Kristian Van der Heyden
1752998,Abigail Rich
75200,Tait Ruppert
65885,Miles Anderson
1235532,Bill Croft
1253291,Kristopher Milnes
104331,Lewis Van Bergen
89989,Leo Gorcey
9909,Shirley Eaton
1519605,Hector Bucio
200989,Emmy Clarke
16604,Sasson Gabai
1455788,Christine Vienna
66526,Jackie Long
83259,Florinda Bolkan
37823,Sonny Shroyer
1445335,Mikhail Matveev
1417115,Roger McGee
61179,Dylan Blue
18471,Anthony Anderson
144286,Alice Parkinson
1170658,Linda Bright Clay
1748616,Isis Johnson
5504,Michael Nicolosi
11395,Victor Wong
1735993,Kenneth D. Ciszewski
54782,Mary Beth Hurt
1104770,Doug Van Liew
1503856,Jesse Mitchell
96933,Dennis Lau
1499488,Bryan Woodward
