movie_id,actor_id
68726,17605.0
68726,56365.0
68726,95101.0
68726,2372.0
68726,39659.0
38356,10959.0
38356,6949.0
38356,83586.0
38356,3910.0
38356,19536.0
217,3.0
217,112.0
217,10959.0
217,5538.0
217,650.0
105864,963134.0
105864,1476748.0
105864,2954.0
105864,3910.0
105864,1540680.0
62177,9015.0
62177,477.0
62177,9188.0
62177,7056.0
62177,9013.0
188927,62064.0
188927,17306.0
188927,1372.0
188927,11108.0
188927,8691.0
10681,670.0
10681,72754.0
10681,60074.0
10681,20753.0
10681,7907.0
5174,66.0
5174,18897.0
5174,9195.0
5174,2201.0
5174,2245.0
14161,3036.0
14161,2956.0
14161,5294.0
14161,9030.0
14161,17485.0
17979,64.0
17979,206.0
17979,78311.0
17979,57675.0
17979,558926.0
76757,18973.0
76757,38673.0
76757,48.0
76757,37632.0
76757,230680.0
258489,28846.0
258489,234352.0
258489,27319.0
258489,2231.0
258489,938.0
411,5528.0
411,5529.0
411,5527.0
411,5526.0
411,3896.0
246655,5530.0
246655,17288.0
246655,72129.0
246655,3292.0
246655,25072.0
155,3894.0
155,1810.0
155,6383.0
155,3895.0
155,1579.0
14160,68812.0
14160,290.0
14160,80676.0
14160,10.0
14160,18792.0
15512,19274.0
15512,368.0
15512,41419.0
15512,22226.0
15512,2628.0
1726,3223.0
1726,18288.0
1726,1229.0
1726,17857.0
1726,12052.0
44826,2282.0
44826,6730.0
44826,77996.0
44826,56734.0
44826,5538.0
8487,2888.0
8487,8945.0
8487,11181.0
8487,3136.0
8487,588.0
1735,18269.0
1735,1336.0
1735,10727.0
1735,49.0
1735,55900.0
297761,2888.0
297761,234352.0
297761,92404.0
297761,19492.0
297761,7499.0
2698,4495.0
2698,16858.0
2698,1230.0
2698,6860.0
2698,8265.0
137113,500.0
137113,5081.0
137113,2039.0
137113,2053.0
137113,119224.0
9804,1269.0
9804,59350.0
9804,3432.0
9804,49832.0
9804,59352.0
14869,6065.0
14869,38673.0
14869,9562.0
14869,23459.0
14869,24045.0
150540,56322.0
150540,169200.0
150540,21125.0
150540,19278.0
150540,59258.0
278927,1414734.0
278927,1532.0
278927,2282.0
278927,17605.0
278927,1245.0
10138,3223.0
10138,12052.0
10138,1896.0
10138,1245.0
10138,2295.0
58595,37917.0
58595,6885.0
58595,74568.0
58595,237455.0
58595,6972.0
102651,11701.0
102651,18050.0
102651,82191.0
102651,32987.0
102651,36594.0
119450,1333.0
119450,76512.0
119450,64.0
119450,41292.0
119450,20286.0
79698,2299.0
79698,76850.0
79698,66442.0
79698,587823.0
79698,85035.0
64686,6384.0
64686,9195.0
64686,58593.0
64686,13275.0
64686,136191.0
100402,16828.0
100402,2231.0
100402,1245.0
100402,4135.0
100402,60898.0
10192,12073.0
10192,776.0
10192,6941.0
10192,3131.0
10192,5823.0
158852,52018.0
158852,1461.0
158852,1055230.0
158852,965224.0
158852,41419.0
177572,66580.0
177572,515510.0
177572,82093.0
177572,51990.0
177572,78324.0
82690,4764.0
82690,7404.0
82690,58737.0
82690,43775.0
82690,21088.0
5255,31.0
5255,2169.0
5255,18286.0
5255,42363.0
5255,42362.0
47933,96066.0
47933,4785.0
47933,8984.0
47933,1094091.0
47933,6068.0
10191,449.0
10191,17276.0
10191,24264.0
10191,59174.0
10191,21007.0
296,1100.0
296,6408.0
296,6194.0
296,7218.0
296,7219.0
118340,73457.0
118340,8691.0
118340,543530.0
118340,12835.0
118340,51329.0
157336,10297.0
157336,83002.0
157336,1813.0
157336,3895.0
157336,1893.0
27205,6193.0
27205,24045.0
27205,27578.0
27205,2524.0
27205,3899.0
315011,1098600.0
315011,588403.0
315011,224664.0
315011,120690.0
315011,1502395.0
49051,1327.0
49051,7060.0
49051,30315.0
49051,1333.0
49051,112.0
9799,8167.0
9799,12835.0
9799,17647.0
9799,22123.0
9799,10883.0
4922,112.0
4922,287.0
4922,3063.0
4922,15887.0
4922,18050.0
49538,5530.0
49538,17288.0
49538,72129.0
49538,4724.0
49538,9827.0
131634,72129.0
131634,27972.0
131634,96066.0
131634,57755.0
131634,9281.0
27022,2963.0
27022,449.0
27022,28782.0
27022,658.0
27022,20374.0
503,6856.0
503,3037.0
503,6164.0
503,6857.0
503,4730.0
241259,85.0
241259,76070.0
241259,1813.0
241259,1283.0
241259,4566.0
810,12073.0
810,776.0
810,6941.0
810,5823.0
810,3131.0
68735,52851.0
68735,77700.0
68735,11107.0
68735,1038379.0
68735,55470.0
87101,1100.0
87101,76512.0
87101,1223786.0
87101,224181.0
87101,18999.0
10140,5527.0
10140,5526.0
10140,11108.0
10140,75170.0
10140,107474.0
676,880.0
676,2299.0
676,3967.0
676,9777.0
676,10127.0
1858,10959.0
1858,19536.0
1858,19537.0
1858,19538.0
1858,8169.0
1966,72466.0
1966,11701.0
1966,5576.0
1966,7499.0
1966,1244.0
675,10980.0
675,10989.0
675,10990.0
675,5658.0
675,5469.0
674,10980.0
674,10989.0
674,10990.0
674,5469.0
674,5658.0
8960,2888.0
8960,6885.0
8960,23532.0
8960,66658.0
8960,1665.0
6479,2888.0
6479,8602.0
6479,49918.0
6479,53918.0
6479,49920.0
118,85.0
118,1281.0
118,1282.0
118,1285.0
118,1286.0
2062,10872.0
2062,65.0
2062,7962.0
